state,year,quarter,regime,group,n_plants,co2_tons,gross_mwh,co2_lb_per_mwh,nameplate_mw,gross_mwh_capmatched,capacity_factor
DE,2025,2,oblig_2024q1_2026q2,covered,9.0,367435.718,645303.05,1138.8005000131334,2826.2,645303.05,0.1045461855095816
DE,2025,2,oblig_2024q1_2026q2,not_covered,2.0,0.0,155.82,0.0,34.7,155.82,0.0020560851252493903
DE,2025,3,oblig_2024q1_2026q2,all,11.0,778683.721,1416205.14,1099.6764508283031,2860.8999999999996,1416205.14,0.22419422399761707
DE,2025,3,oblig_2024q1_2026q2,covered,9.0,778683.7209999999,1415888.1600000001,1099.9226393700471,2826.2,1415888.1600000001,0.22689607800303377
DE,2025,3,oblig_2024q1_2026q2,not_covered,2.0,0.0,316.98,0.0,34.7,316.98,0.004137169527628117
DE,2025,4,oblig_2024q1_2026q2,all,9.0,587963.855,1090248.2000000002,1078.5871602447955,2826.2,1090248.2000000002,0.17471227432953967
DE,2025,4,oblig_2024q1_2026q2,covered,9.0,587963.855,1090248.2000000002,1078.5871602447955,2826.2,1090248.2000000002,0.17471227432953967
MA,2020,1,oblig_2020,all,29.0,1362395.738,3129335.9799999995,870.7251293611498,10838.566666666668,3129335.9800000004,0.1321988588302246
MA,2020,1,oblig_2020,covered,25.0,1362395.738,3066644.7300000004,888.5253154185876,10793.600000000002,3066644.7300000004,0.1300901793553689
MA,2020,1,oblig_2020,not_covered,4.0,0.0,62691.25,0.0,44.96666666666667,62691.25,0.6383569636442135
MA,2020,2,oblig_2020,all,31.0,957983.8800000001,1954886.7499999998,980.0914349641996,10900.900000000001,1954886.7499999998,0.08211199678475314
MA,2020,2,oblig_2020,covered,25.0,957983.88,1923625.01,996.0193645018163,10795.600000000002,1923625.01,0.08158700602416095
MA,2020,2,oblig_2020,not_covered,6.0,0.0,31261.74,0.0,105.3,31261.74,0.1359352660634712
MA,2020,3,oblig_2020,all,31.0,2503084.185,4960543.0600000005,1009.1976441789016,10900.900000000001,4960543.0600000005,0.20609516303068182
MA,2020,3,oblig_2020,covered,25.0,2503084.1849999996,4895520.93,1022.601770390143,10795.600000000002,4895520.93,0.2053775921893299
MA,2020,3,oblig_2020,not_covered,6.0,0.0,65022.13,0.0,105.3,65022.13,0.2796621884333237
MA,2020,4,oblig_2020,all,28.0,1531507.803,3044805.16,1005.9808247303416,10816.800000000001,3044805.16,0.1274857484841079
MA,2020,4,oblig_2020,covered,25.0,1531507.8029999998,3044805.16,1005.9808247303415,10795.600000000002,3044805.16,0.1277361002818647
MA,2020,4,oblig_2020,not_covered,3.0,0.0,0.0,,21.2,0.0,0.0
MA,2021,1,oblig_2021q1_2022q2,all,28.0,1837763.729,3827403.9200000004,960.3186741785015,10859.000000000002,3827403.9200000004,0.16317766454178645
MA,2021,1,oblig_2021q1_2022q2,covered,25.0,1837763.729,3808140.17,965.1765150230801,10837.800000000001,3808140.17,0.16267396118045002
MA,2021,1,oblig_2021q1_2022q2,not_covered,3.0,0.0,19263.75,0.0,21.2,19263.75,0.4206793763102725
MA,2021,2,oblig_2021q1_2022q2,all,31.0,1418091.05,2767629.08,1024.7695836466642,10754.900000000003,2767629.08,0.11782809995764087
MA,2021,2,oblig_2021q1_2022q2,covered,25.0,1418091.05,2764282.3200000003,1026.0102882689637,10627.400000000001,2764282.3200000003,0.11909752460310452
MA,2021,2,oblig_2021q1_2022q2,not_covered,6.0,0.0,3346.7599999999998,0.0,127.5,3346.7599999999998,0.012018817783523665
MA,2021,3,oblig_2021q1_2022q2,all,30.0,2128125.1950000003,4058532.3100000005,1048.716645550125,10177.100000000002,4058532.3100000005,0.1806117067993943
MA,2021,3,oblig_2021q1_2022q2,covered,25.0,2128125.195,4058135.7000000007,1048.8191387981428,10093.000000000004,4058135.7000000007,0.1820988583348769
MA,2021,3,oblig_2021q1_2022q2,not_covered,5.0,0.0,396.61,0.0,84.1,396.61,0.0021358394078822658
MA,2021,4,oblig_2021q1_2022q2,all,27.0,1316887.7410000002,2571398.7800000003,1024.2578873744353,10093.000000000004,2571398.78,0.11538519575915
MA,2021,4,oblig_2021q1_2022q2,covered,25.0,1316887.7410000002,2571398.78,1024.2578873744355,10093.000000000004,2571398.78,0.11538519575915
MA,2021,4,oblig_2021q1_2022q2,not_covered,2.0,0.0,0.0,,0.0,0.0,
MA,2022,1,oblig_2021q1_2022q2,all,27.0,1845081.3900000001,3420882.3399999994,1078.7166623216867,10093.000000000004,3420882.34,0.1569148740784775
MA,2022,1,oblig_2021q1_2022q2,covered,25.0,1845081.39,3420882.34,1078.7166623216863,10093.000000000004,3420882.34,0.1569148740784775
MA,2022,1,oblig_2021q1_2022q2,not_covered,2.0,0.0,0.0,,0.0,0.0,
MA,2022,2,oblig_2021q1_2022q2,all,30.0,1522023.6600000001,2986013.1900000004,1019.4353227220674,10177.100000000002,2986013.1900000004,0.13434300110968805
MA,2022,2,oblig_2021q1_2022q2,covered,25.0,1522023.6600000001,2985890.73,1019.4771327080681,10093.000000000004,2985890.73,0.13545685972107746
MA,2022,2,oblig_2021q1_2022q2,not_covered,5.0,0.0,122.46000000000001,0.0,84.1,122.46000000000001,0.0006667232886020045
MA,2022,3,oblig_2022q3_2023q4,all,27.0,2506909.6319999998,4803899.630000001,1043.6977560249313,9998.600000000002,4803899.63,0.2175983817988141
MA,2022,3,oblig_2022q3_2023q4,covered,24.0,2506909.632,4803533.08,1043.7773989473599,9956.0,4803533.08,0.2185127732312028
MA,2022,3,oblig_2022q3_2023q4,not_covered,3.0,0.0,366.55,0.0,42.6,366.55,0.0038969475062938016
MA,2022,4,oblig_2022q3_2023q4,all,26.0,1465570.911,2828622.08,1036.2437042137492,9956.0,2828622.0799999996,0.1286740498774317
MA,2022,4,oblig_2022q3_2023q4,covered,24.0,1465570.911,2828622.0799999996,1036.2437042137494,9956.0,2828622.0799999996,0.1286740498774317
MA,2022,4,oblig_2022q3_2023q4,not_covered,2.0,0.0,0.0,,0.0,0.0,
MA,2023,1,oblig_2022q3_2023q4,all,26.0,1457550.398,2854153.44,1021.3539171180649,9956.0,2854153.44,0.13272070443283782
MA,2023,1,oblig_2022q3_2023q4,covered,24.0,1457550.398,2854153.44,1021.3539171180649,9956.0,2854153.44,0.13272070443283782
MA,2023,1,oblig_2022q3_2023q4,not_covered,2.0,0.0,0.0,,0.0,0.0,
MA,2023,2,oblig_2022q3_2023q4,all,27.0,1375032.2340000002,2619962.41,1049.657986505234,9998.600000000002,2619962.4099999997,0.11997844579193463
MA,2023,2,oblig_2022q3_2023q4,covered,24.0,1375032.234,2619824.4400000004,1049.7132655194252,9956.0,2619824.4400000004,0.12048546755909152
MA,2023,2,oblig_2022q3_2023q4,not_covered,3.0,0.0,137.97,0.0,42.6,137.97,0.0014829360780065004
MA,2023,3,oblig_2022q3_2023q4,all,27.0,2055546.6909999999,3851839.38,1067.3065453731354,9998.600000000002,3851839.38,0.1744736735969122
MA,2023,3,oblig_2022q3_2023q4,covered,24.0,2055546.6909999999,3851517.34,1067.3957869290027,9956.0,3851517.34,0.17520556663085693
MA,2023,3,oblig_2022q3_2023q4,not_covered,3.0,0.0,322.03999999999996,0.0,42.6,322.03999999999996,0.0034237429407362042
MA,2023,4,oblig_2022q3_2023q4,all,26.0,1580275.31,3085837.43,1024.2116416353144,9956.0,3085837.43,0.14037477900952597
MA,2023,4,oblig_2022q3_2023q4,covered,24.0,1580275.31,3085837.43,1024.2116416353144,9956.0,3085837.43,0.14037477900952597
