facilityId,unitId,stateCode,year,quarter,gross_mwh,co2_tons,rggi_obligated,camd_rggi_program,coats_unit_match,coats_facility_match,source,yoy_pct_applied
544,15,CT,2020,2,565.2,425.157,True,True,True,True,cems_actual,
544,15,CT,2020,3,1347.55,1001.578,True,True,True,True,cems_actual,
544,15,CT,2020,4,190.84,143.123,True,True,True,True,cems_actual,
544,15,CT,2021,1,75.79,55.925,True,True,True,True,cems_actual,
544,15,CT,2021,2,185.35,159.674,True,True,True,True,cems_actual,
544,15,CT,2021,3,612.73,470.184,True,True,True,True,cems_actual,
544,15,CT,2021,4,280.01,212.137,True,True,True,True,cems_actual,
544,15,CT,2022,1,166.9,128.204,True,True,True,True,cems_actual,
544,15,CT,2022,2,270.66,222.649,True,True,True,True,cems_actual,
544,15,CT,2022,3,91.05,79.516,True,True,True,True,cems_actual,
544,15,CT,2022,4,364.62,267.433,True,True,True,True,cems_actual,
544,15,CT,2023,1,359.78,298.084,True,True,True,True,cems_actual,
544,15,CT,2023,2,435.48,358.416,True,True,True,True,cems_actual,
544,15,CT,2023,3,863.37,739.552,True,True,True,True,cems_actual,
544,15,CT,2023,4,112.69,85.464,True,True,True,True,cems_actual,
544,15,CT,2024,1,,,True,True,True,True,cems_actual,
544,15,CT,2024,2,138.52,110.009,True,True,True,True,cems_actual,
544,15,CT,2024,3,785.12,588.81,True,True,True,True,cems_actual,
544,15,CT,2024,4,308.38,262.688,True,True,True,True,cems_actual,
544,15,CT,2025,1,441.29,319.845,True,True,True,True,cems_actual,
544,15,CT,2025,2,1339.86,907.772,True,True,True,True,cems_actual,
544,15,CT,2025,3,1123.65,802.082,True,True,True,True,cems_actual,
544,15,CT,2025,4,672.65,579.301,True,True,True,True,cems_actual,
544,15,CT,2026,1,458.9814215595381,332.6676624865972,True,True,True,True,cems_extended,0.040090238980122095
544,15,CT,2026,2,2514.054785186835,1703.3037335681518,True,True,True,True,cems_extended,0.8763563246808136
544,15,CT,2026,3,2200.209394504613,1570.5498612228444,True,True,True,True,cems_extended,0.9580913936765122
544,15,CT,2026,4,1092.9870869460728,941.3045602541397,True,True,True,True,cems_extended,0.6248971782443663
544,16,CT,2020,1,61.88,46.403,True,True,True,True,cems_actual,
544,16,CT,2020,2,488.15,369.954,True,True,True,True,cems_actual,
544,16,CT,2020,3,1377.08,990.995,True,True,True,True,cems_actual,
544,16,CT,2020,4,388.27,286.131,True,True,True,True,cems_actual,
544,16,CT,2021,1,219.04,153.791,True,True,True,True,cems_actual,
544,16,CT,2021,2,470.0,373.841,True,True,True,True,cems_actual,
544,16,CT,2021,3,724.88,565.12,True,True,True,True,cems_actual,
544,16,CT,2021,4,326.95,241.101,True,True,True,True,cems_actual,
544,16,CT,2022,1,161.9,122.646,True,True,True,True,cems_actual,
544,16,CT,2022,2,186.28,149.583,True,True,True,True,cems_actual,
544,16,CT,2022,3,313.45,276.324,True,True,True,True,cems_actual,
544,16,CT,2022,4,1007.85,739.553,True,True,True,True,cems_actual,
544,16,CT,2023,1,81.39,63.051,True,True,True,True,cems_actual,
544,16,CT,2023,2,437.67,347.728,True,True,True,True,cems_actual,
544,16,CT,2023,3,706.17,586.366,True,True,True,True,cems_actual,
544,16,CT,2023,4,548.16,401.755,True,True,True,True,cems_actual,
544,16,CT,2024,1,176.69,127.186,True,True,True,True,cems_actual,
544,16,CT,2024,2,138.52,108.318,True,True,True,True,cems_actual,
544,16,CT,2024,3,213.77,145.24,True,True,True,True,cems_actual,
544,16,CT,2024,4,352.33,295.006,True,True,True,True,cems_actual,
544,16,CT,2025,1,659.37,508.38,True,True,True,True,cems_actual,
544,16,CT,2025,2,2438.25,1687.761,True,True,True,True,cems_actual,
544,16,CT,2025,3,836.9,605.643,True,True,True,True,cems_actual,
544,16,CT,2025,4,518.97,462.008,True,True,True,True,cems_actual,
544,16,CT,2026,1,685.804300876323,528.7610756927145,True,True,True,True,cems_extended,0.040090238980122095
544,16,CT,2026,2,4575.025808652994,3166.841026899615,True,True,True,True,cems_extended,0.8763563246808136
544,16,CT,2026,3,1638.7266873678732,1185.904345940424,True,True,True,True,cems_extended,0.9580913936765122
544,16,CT,2026,4,843.2728885934788,750.7154955263231,True,True,True,True,cems_extended,0.6248971782443663
544,17,CT,2020,1,,,True,True,True,True,cems_actual,
544,17,CT,2020,2,670.37,506.637,True,True,True,True,cems_actual,
544,17,CT,2020,3,1044.97,733.537,True,True,True,True,cems_actual,
544,17,CT,2020,4,271.1,206.688,True,True,True,True,cems_actual,
544,17,CT,2021,1,208.98,156.072,True,True,True,True,cems_actual,
544,17,CT,2021,2,275.66,207.743,True,True,True,True,cems_actual,
544,17,CT,2021,3,555.4,426.271,True,True,True,True,cems_actual,
544,17,CT,2021,4,320.31,244.199,True,True,True,True,cems_actual,
544,17,CT,2022,1,63.23,48.022,True,True,True,True,cems_actual,
544,17,CT,2022,2,293.81,242.553,True,True,True,True,cems_actual,
544,17,CT,2022,3,510.39,457.988,True,True,True,True,cems_actual,
544,17,CT,2022,4,1035.97,779.407,True,True,True,True,cems_actual,
544,17,CT,2023,1,,,True,True,True,True,cems_actual,
544,17,CT,2023,2,446.07,376.237,True,True,True,True,cems_actual,
544,17,CT,2023,3,429.11,345.762,True,True,True,True,cems_actual,
544,17,CT,2023,4,137.14,95.341,True,True,True,True,cems_actual,
544,17,CT,2024,1,132.72,97.534,True,True,True,True,cems_actual,
544,17,CT,2024,2,119.44,102.102,True,True,True,True,cems_actual,
544,17,CT,2024,3,325.66,240.424,True,True,True,True,cems_actual,
544,17,CT,2024,4,263.32,223.263,True,True,True,True,cems_actual,
544,17,CT,2025,1,438.51,324.526,True,True,True,True,cems_actual,
544,17,CT,2025,2,1393.96,961.275,True,True,True,True,cems_actual,
544,17,CT,2025,3,1050.37,772.326,True,True,True,True,cems_actual,
544,17,CT,2025,4,810.93,714.851,True,True,True,True,cems_actual,
544,17,CT,2026,1,456.08997069517335,337.53632489526314,True,True,True,True,cems_extended,0.040090238980122095
544,17,CT,2026,2,2615.565662352067,1803.694426007549,True,True,True,True,cems_extended,0.8763563246808136
544,17,CT,2026,3,2056.720457175998,1512.2848937126062,True,True,True,True,cems_extended,0.9580913936765122
544,17,CT,2026,4,1317.6778687537037,1161.5593727651635,True,True,True,True,cems_extended,0.6248971782443663
544,18,CT,2020,1,,,True,True,True,True,cems_actual,
544,18,CT,2020,2,579.56,440.828,True,True,True,True,cems_actual,
544,18,CT,2020,3,1521.52,1109.157,True,True,True,True,cems_actual,
544,18,CT,2020,4,206.69,159.706,True,True,True,True,cems_actual,
544,18,CT,2021,1,268.44,199.87,True,True,True,True,cems_actual,
544,18,CT,2021,2,273.06,215.612,True,True,True,True,cems_actual,
544,18,CT,2021,3,505.64,399.666,True,True,True,True,cems_actual,
544,18,CT,2021,4,500.06,382.025,True,True,True,True,cems_actual,
544,18,CT,2022,1,91.41,66.758,True,True,True,True,cems_actual,
544,18,CT,2022,2,161.64,139.284,True,True,True,True,cems_actual,
544,18,CT,2022,3,243.37,221.107,True,True,True,True,cems_actual,
544,18,CT,2022,4,679.84,511.829,True,True,True,True,cems_actual,
544,18,CT,2023,1,140.1,119.559,True,True,True,True,cems_actual,
544,18,CT,2023,2,785.27,662.903,True,True,True,True,cems_actual,
544,18,CT,2023,3,594.57,497.177,True,True,True,True,cems_actual,
544,18,CT,2023,4,421.04,318.481,True,True,True,True,cems_actual,
544,18,CT,2024,1,300.67,207.464,True,True,True,True,cems_actual,
544,18,CT,2024,2,168.47,145.001,True,True,True,True,cems_actual,
544,18,CT,2024,3,274.03,197.458,True,True,True,True,cems_actual,
544,18,CT,2024,4,240.54,191.175,True,True,True,True,cems_actual,
544,18,CT,2025,1,341.31,249.421,True,True,True,True,cems_actual,
544,18,CT,2025,2,2085.81,1426.693,True,True,True,True,cems_actual,
544,18,CT,2025,3,758.99,537.233,True,True,True,True,cems_actual,
544,18,CT,2025,4,784.68,662.439,True,True,True,True,cems_actual,
544,18,CT,2026,1,354.9931994663055,259.420347496661,True,True,True,True,cems_extended,0.040090238980122095
544,18,CT,2026,2,3913.722785582488,2676.9844339278443,True,True,True,True,cems_extended,0.8763563246808136
544,18,CT,2026,3,1486.171786886536,1051.9513136990136,True,True,True,True,cems_extended,0.9580913936765122
544,18,CT,2026,4,1275.0243178247893,1076.3952618590197,True,True,True,True,cems_extended,0.6248971782443663
546,5,CT,2020,1,6725.46,5833.274,True,True,True,True,cems_actual,
546,5,CT,2020,2,5047.4,4005.112,True,True,True,True,cems_actual,
546,5,CT,2020,3,5061.95,3804.606,True,True,True,True,cems_actual,
546,5,CT,2020,4,0.68,55.106,True,True,True,True,cems_actual,
546,5,CT,2021,1,0.0,16.21,True,True,True,True,cems_actual,
546,5,CT,2021,2,5741.46,4178.064,True,True,True,True,cems_actual,
546,5,CT,2021,3,5161.82,3540.375,True,True,True,True,cems_actual,
546,5,CT,2021,4,164.56,180.691,True,True,True,True,cems_actual,
546,5,CT,2022,1,27248.41,25830.25,True,True,True,True,cems_actual,
546,5,CT,2022,2,1690.9,1150.659,True,True,True,True,cems_actual,
546,5,CT,2022,3,18420.16,12186.155,True,True,True,True,cems_actual,
546,5,CT,2022,4,9013.93,7935.161,True,True,True,True,cems_actual,
546,5,CT,2023,1,5142.0,4932.434,True,True,True,True,cems_actual,
546,5,CT,2023,2,,,True,True,True,True,cems_actual,
546,5,CT,2023,3,13865.99,9859.457,True,True,True,True,cems_actual,
546,5,CT,2023,4,0.0,34.857,True,True,True,True,cems_actual,
546,5,CT,2024,1,0.0,5.46,True,True,True,True,cems_actual,
546,5,CT,2024,2,4628.5,3308.679,True,True,True,True,cems_actual,
546,5,CT,2024,3,11042.21,8018.538,True,True,True,True,cems_actual,
546,5,CT,2024,4,4672.2,4340.171,True,True,True,True,cems_actual,
546,5,CT,2025,1,17092.63,15965.578,True,True,True,True,cems_actual,
546,5,CT,2025,2,5755.38,4036.084,True,True,True,True,cems_actual,
546,5,CT,2025,3,31028.63,22050.373,True,True,True,True,cems_actual,
546,5,CT,2025,4,7175.88,6808.883,True,True,True,True,cems_actual,
546,5,CT,2026,1,17777.877621498807,16605.641837475778,True,True,True,True,cems_extended,0.040090238980122095
546,5,CT,2026,2,11510.76,8072.168,True,True,True,True,cems_extended,1.0
546,5,CT,2026,3,62057.26,44100.746,True,True,True,True,cems_extended,1.0
546,5,CT,2026,4,14351.76,13617.766,True,True,True,True,cems_extended,1.0
546,6,CT,2020,1,3190.85,3661.851,True,True,True,True,cems_actual,
546,6,CT,2020,2,3305.85,3463.231,True,True,True,True,cems_actual,
546,6,CT,2020,3,0.0,0.1,True,True,True,True,cems_actual,
546,6,CT,2020,4,1.71,2.541,True,True,True,True,cems_actual,
546,6,CT,2021,1,12481.27,14387.706,True,True,True,True,cems_actual,
546,6,CT,2021,2,3.28,79.084,True,True,True,True,cems_actual,
546,6,CT,2021,3,5727.89,6510.299,True,True,True,True,cems_actual,
546,6,CT,2021,4,,,True,True,True,True,cems_actual,
546,6,CT,2022,1,39931.51,44935.32,True,True,True,True,cems_actual,
546,6,CT,2022,2,,,True,True,True,True,cems_actual,
546,6,CT,2022,3,14866.19,13268.279,True,True,True,True,cems_actual,
546,6,CT,2022,4,924.56,976.496,True,True,True,True,cems_actual,
546,6,CT,2023,1,12669.67,10822.502,True,True,True,True,cems_actual,
546,6,CT,2023,2,,,True,True,True,True,cems_actual,
546,6,CT,2023,3,8980.05,8205.738,True,True,True,True,cems_actual,
546,6,CT,2023,4,0.0,8.359,True,True,True,True,cems_actual,
546,6,CT,2024,1,0.0,2.658,True,True,True,True,cems_actual,
546,6,CT,2024,2,4321.14,4265.608,True,True,True,True,cems_actual,
546,6,CT,2024,3,3617.05,3201.971,True,True,True,True,cems_actual,
546,6,CT,2024,4,0.0,22.509,True,True,True,True,cems_actual,
546,6,CT,2025,1,28930.3,24970.677,True,True,True,True,cems_actual,
546,6,CT,2025,2,12476.0,10626.059,True,True,True,True,cems_actual,
546,6,CT,2025,3,32756.06,28980.462,True,True,True,True,cems_actual,
546,6,CT,2025,4,6295.1,5371.438,True,True,True,True,cems_actual,
546,6,CT,2026,1,30090.122640766625,25971.757408425437,True,True,True,True,cems_extended,0.040090238980122095
546,6,CT,2026,2,24952.0,21252.118,True,True,True,True,cems_extended,1.0
546,6,CT,2026,3,65512.12,57960.924,True,True,True,True,cems_extended,1.0
546,6,CT,2026,4,12590.2,10742.876,True,True,True,True,cems_extended,1.0
557,10,CT,2020,2,17.43,,False,False,False,False,cems_actual,
557,10,CT,2020,3,393.65,,False,False,False,False,cems_actual,
557,10,CT,2021,2,0.3,,False,False,False,False,cems_actual,
