stateCode,facilityName,facilityId,unitId,associatedStacks,year,quarter,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo,camd_rggi_program,coats_unit_match,coats_facility_match,rggi_obligated,co2_intensity_st_per_mwh,co2_intensity_lb_per_mwh,co2_intensity_kg_per_mwh
CT,Branford,540,10,,2020,2,7,3.87,41.14,,,,,,0.581,1.2,967.5,Other Oil,,Combustion turbine,,,,,SIPNOX,False,False,False,False,,,
CT,Branford,540,10,,2020,3,10,6.43,39.19,,,,,,0.965,1.2,1607.5,Other Oil,,Combustion turbine,,,,,SIPNOX,False,False,False,False,,,
CT,Branford,540,10,,2021,2,4,2.68,29.26,,,,,,0.402,1.2,670.0,Other Oil,,Combustion turbine,,,,,SIPNOX,False,False,False,False,,,
CT,Branford,540,10,,2021,3,10,6.8,98.12,,,,,,0.935,1.0942,1700.0,Other Oil,,Combustion turbine,,,,,SIPNOX,False,False,False,False,,,
CT,Branford,540,10,,2022,2,4,2.64,11.28,,,,,,0.221,0.6705,660.0,Other Oil,,Combustion turbine,,,,,SIPNOX,False,False,False,False,,,
CT,Branford,540,10,,2022,3,15,8.67,62.32,,,,,,0.727,0.671,2167.5,Other Oil,,Combustion turbine,,,,,SIPNOX,False,False,False,False,,,
CT,Branford,540,10,,2023,2,0,0.0,,,,,,,,,,Other Oil,,Combustion turbine,,,,,SIPNOX,False,False,False,False,,,
CT,Branford,540,10,,2023,3,5,2.78,36.62,,,,,,0.233,0.671,695.0,Other Oil,,Combustion turbine,,,,,SIPNOX,False,False,False,False,,,
CT,Branford,540,10,,2024,2,6,2.45,22.41,,,,,,0.205,0.6703,612.5,Other Oil,,Combustion turbine,,,,,SIPNOX,False,False,False,False,,,
CT,Branford,540,10,,2024,3,3,1.8,22.6,,,,,,0.151,0.671,450.0,Other Oil,,Combustion turbine,,,,,SIPNOX,False,False,False,False,,,
CT,Branford,540,10,,2025,2,18,12.09,186.64,,,,,,1.041,0.6906,3022.5,Other Oil,,Combustion turbine,,,,,SIPNOX,False,False,False,False,,,
CT,Branford,540,10,,2025,3,0,0.0,,,,,,,,,,Other Oil,,Combustion turbine,,,,,SIPNOX,False,False,False,False,,,
CT,Cos Cob,542,10,,2020,2,2,1.23,20.91,,,,,,0.185,1.2,307.5,Other Oil,,Combustion turbine,,Water Injection,,,SIPNOX,False,False,False,False,,,
CT,Cos Cob,542,10,,2020,3,7,4.02,61.04,,,,,,0.603,1.2,1005.0,Other Oil,,Combustion turbine,,Water Injection,,,SIPNOX,False,False,False,False,,,
CT,Cos Cob,542,10,,2021,2,10,5.81,71.85,,,,,,0.872,1.2,1452.5,Other Oil,,Combustion turbine,,Water Injection,,,SIPNOX,False,False,False,False,,,
CT,Cos Cob,542,10,,2021,3,5,3.42,47.56,,,,,,0.513,1.2,855.0,Other Oil,,Combustion turbine,,Water Injection,,,SIPNOX,False,False,False,False,,,
CT,Cos Cob,542,10,,2022,2,3,1.67,23.05,,,,,,0.251,1.2,417.5,Other Oil,,Combustion turbine,,Water Injection,,,SIPNOX,False,False,False,False,,,
CT,Cos Cob,542,10,,2022,3,0,0.0,,,,,,,,,,Other Oil,,Combustion turbine,,Water Injection,,,SIPNOX,False,False,False,False,,,
CT,Cos Cob,542,10,,2023,2,7,3.22,40.71,,,,,,0.483,1.2,805.0,Other Oil,,Combustion turbine,,Water Injection,,,SIPNOX,False,False,False,False,,,
CT,Cos Cob,542,10,,2023,3,8,5.32,89.13,,,,,,0.798,1.2,1330.0,Other Oil,,Combustion turbine,,Water Injection,,,SIPNOX,False,False,False,False,,,
CT,Cos Cob,542,10,,2024,2,1,0.4,0.0,,,,,,0.009,0.171,100.0,Other Oil,,Combustion turbine,,Water Injection,,,SIPNOX,False,False,False,False,,,
CT,Cos Cob,542,10,,2024,3,6,3.79,51.43,,,,,,0.081,0.171,947.5,Other Oil,,Combustion turbine,,Water Injection,,,SIPNOX,False,False,False,False,,,
CT,Cos Cob,542,10,,2025,2,6,1.07,1.48,,,,,,0.113,1.0285,267.5,Other Oil,,Combustion turbine,,Water Injection,,,SIPNOX,False,False,False,False,,,
CT,Cos Cob,542,10,,2025,3,14,7.64,109.58,,,,,,0.187,0.3181,1910.0,Other Oil,,Combustion turbine,,Water Injection,,,SIPNOX,False,False,False,False,,,
CT,Cos Cob,542,11,,2020,2,2,1.17,21.06,,,,,,0.176,1.2,292.5,Other Oil,,Combustion turbine,,Water Injection,,,SIPNOX,False,False,False,False,,,
CT,Cos Cob,542,11,,2020,3,5,2.98,49.41,,,,,,0.447,1.2,745.0,Other Oil,,Combustion turbine,,Water Injection,,,SIPNOX,False,False,False,False,,,
CT,Cos Cob,542,11,,2021,2,1,0.45,2.7,,,,,,0.068,1.2,112.5,Other Oil,,Combustion turbine,,Water Injection,,,SIPNOX,False,False,False,False,,,
CT,Cos Cob,542,11,,2021,3,7,4.12,50.94,,,,,,0.618,1.2,1030.0,Other Oil,,Combustion turbine,,Water Injection,,,SIPNOX,False,False,False,False,,,
CT,Cos Cob,542,11,,2022,2,3,1.74,24.07,,,,,,0.261,1.2,435.0,Other Oil,,Combustion turbine,,Water Injection,,,SIPNOX,False,False,False,False,,,
CT,Cos Cob,542,11,,2022,3,3,1.31,11.33,,,,,,0.197,1.2,327.5,Other Oil,,Combustion turbine,,Water Injection,,,SIPNOX,False,False,False,False,,,
CT,Cos Cob,542,11,,2023,2,7,4.33,56.9,,,,,,0.65,1.2,1082.5,Other Oil,,Combustion turbine,,Water Injection,,,SIPNOX,False,False,False,False,,,
CT,Cos Cob,542,11,,2023,3,8,5.36,85.74,,,,,,0.804,1.2,1340.0,Other Oil,,Combustion turbine,,Water Injection,,,SIPNOX,False,False,False,False,,,
CT,Cos Cob,542,11,,2024,2,1,0.35,0.0,,,,,,0.008,0.179,87.5,Other Oil,,Combustion turbine,,Water Injection,,,SIPNOX,False,False,False,False,,,
CT,Cos Cob,542,11,,2024,3,3,1.76,22.33,,,,,,0.039,0.179,440.0,Other Oil,,Combustion turbine,,Water Injection,,,SIPNOX,False,False,False,False,,,
CT,Cos Cob,542,11,,2025,2,18,13.18,187.67,,,,,,0.295,0.179,3295.0,Other Oil,,Combustion turbine,,Water Injection,,,SIPNOX,False,False,False,False,,,
CT,Cos Cob,542,11,,2025,3,24,15.21,216.88,,,,,,0.364,0.2642,3802.5,Other Oil,,Combustion turbine,,Water Injection,,,SIPNOX,False,False,False,False,,,
CT,Cos Cob,542,12,,2020,2,0,0.0,,,,,,,,,,Other Oil,,Combustion turbine,,Water Injection,,,SIPNOX,False,False,False,False,,,
CT,Cos Cob,542,12,,2020,3,5,2.5,45.0,,,,,,0.375,1.2,625.0,Other Oil,,Combustion turbine,,Water Injection,,,SIPNOX,False,False,False,False,,,
CT,Cos Cob,542,12,,2021,2,2,0.42,1.5,,,,,,0.063,1.2,105.0,Other Oil,,Combustion turbine,,Water Injection,,,SIPNOX,False,False,False,False,,,
CT,Cos Cob,542,12,,2021,3,9,4.62,55.02,,,,,,0.693,1.2,1155.0,Other Oil,,Combustion turbine,,Water Injection,,,SIPNOX,False,False,False,False,,,
CT,Cos Cob,542,12,,2022,2,3,1.69,23.45,,,,,,0.254,1.2,422.5,Other Oil,,Combustion turbine,,Water Injection,,,SIPNOX,False,False,False,False,,,
CT,Cos Cob,542,12,,2022,3,0,0.0,,,,,,,,,,Other Oil,,Combustion turbine,,Water Injection,,,SIPNOX,False,False,False,False,,,
CT,Cos Cob,542,12,,2023,2,5,3.2,40.38,,,,,,0.48,1.2,800.0,Other Oil,,Combustion turbine,,Water Injection,,,SIPNOX,False,False,False,False,,,
